data_id,ownerUser,licenses,# of classes,usabilityRating,totalViews,totalVotes,totalDownloads,c1,c2,c3,c4,v1,v2,v3,v4,v5,v6,v7,v8,Empty
18,erikgevondyan,CC0-1.0,2,0.8125,68,1,3,0,0,0,-2,0.39348727,0.203128987,-0.138631181,0.088261147,-0.316496717,0.118170501,0.079830067,-0.415045869,0
19,forderation,CC0-1.0,2,0.8125,12315,32,2455,0,0,-1,1,0.321794942,0.169766348,-0.123495464,0.066181469,-0.252965914,0.102785741,0.081706939,-0.334780703,0
20,gauravduttakiit,DbCL-1.0,2,0.5625,3201,5,519,1,0,0,1,0.359505324,0.188227784,-0.114961093,0.05488195,-0.288958731,0.106069137,0.143516083,-0.424256788,0
21,glushko,CC-BY-SA-3.0,3,0.875,6812,27,416,0,0,2,-1,0.427388295,0.270146188,-0.20200108,0.101491133,-0.349063869,0.123469684,0.145463508,-0.489665566,0
22,gpiosenka,CC0-1.0,2,0.911764706,10077,28,672,0,1,0,-1,0.448504387,0.234140992,-0.17657491,0.098779595,-0.350322029,0.143078691,0.111528933,-0.460504827,0
23,gpiosenka,unknown,2,0.647058824,5122,12,625,-1,-1,0,0,0.44390222,0.2297227,-0.175274588,0.095732539,-0.352384881,0.140754004,0.104644049,-0.456862438,0
24,gpiosenka,CC0-1.0,10,0.823529412,1534,19,313,-1,-1,-1,1,0.42048958,0.212759213,-0.140523645,0.093977837,-0.322686141,0.119575902,0.108658343,-0.418108736,0
25,hasibalmuzdadid,copyright-authors,3,0.9375,8342,91,1234,0,1,0,0,0.420101954,0.242143762,-0.168429857,0.093313589,-0.336887155,0.137396713,0.098143246,-0.436163178,0
26,hemendrasr,other,2,1,2559,14,213,0,-1,1,-1,0.414671678,0.226166366,-0.160725914,0.073459815,-0.321460919,0.128043384,0.100991786,-0.415904179,0
27,ifeanyinneji,CC0-1.0,2,0.941176471,3604,22,620,-1,0,-1,0,0.475135206,0.263576428,-0.169199667,0.098119867,-0.351346647,0.155596141,0.106824152,-0.483407688,0
28,imsparsh,CC0-1.0,5,0.941176471,10689,21,1310,0,-1,-1,1,0.409778128,0.229804815,-0.166519287,0.086053054,-0.335256989,0.136482724,0.103569901,-0.434166293,0
29,ionutandreivaduva,CC-BY-NC-SA-4.0,4,0.4375,2007,2,169,0,2,1,-1,0.540199599,0.241475206,-0.178039039,0.133671193,-0.373947694,0.137131103,0.102263674,-0.49228651,0
30,ionutandreivaduva,unknown,4,0.1875,799,3,49,0,2,1,-1,0.421275924,0.190661034,-0.139021596,0.12017751,-0.318077244,0.116492947,0.064503521,-0.378765543,0
31,ionutandreivaduva,copyright-authors,4,0.375,682,2,30,0,2,1,-1,0.42105363,0.222894428,-0.147788189,0.113619243,-0.325042534,0.141631596,0.104345569,-0.435398621,0
32,joeylimzy,CC0-1.0,5,0.75,3037,8,348,0,-1,-1,1,0.406034692,0.229006599,-0.181660888,0.08462772,-0.331152163,0.140338176,0.113769385,-0.432692816,0
33,juniorbueno,CC0-1.0,7,0.75,3020,38,215,2,-1,-3,-1,0.383604774,0.203078527,-0.12905855,0.067008237,-0.285163857,0.119361519,0.075346816,-0.381876785,0
34,ligtfeather,unknown,2,0.5,5360,23,773,0,-1,0,-1,0.449313265,0.234452408,-0.171941431,0.103390883,-0.36285371,0.137711855,0.112047951,-0.465543478,0
35,lys620,unknown,2,0.3125,1058,7,45,1,0,0,1,0.452086636,0.22470758,-0.119694451,0.057357123,-0.358432267,0.133421913,0.161039016,-0.513673795,0
36,mahmoudreda55,copyright-authors,4,0.8125,31287,57,2627,0,0,2,1,0.364711136,0.195092978,-0.141269429,0.060274506,-0.287655302,0.114189444,0.093757124,-0.376833702,0
37,masoudnickparvar,CC0-1.0,4,0.875,46320,122,5456,0,-1,1,1,0.410682137,0.204118476,-0.176582296,0.074175357,-0.326093662,0.130012692,0.117154481,-0.450058778,0
38,mattop,CC0-1.0,2,0.75,696,17,89,0,0,0,0,0.478241193,0.262968312,-0.177215093,0.099215465,-0.357522969,0.136041712,0.096913571,-0.47737872,0
39,mdwaquarazam,CC0-1.0,8,0.875,4641,26,537,3,1,-3,0,0.35431232,0.185158944,-0.144353233,0.069359055,-0.283269376,0.114169243,0.090308267,-0.373035993,0
40,moezabid,CC0-1.0,8,0.875,16101,30,1598,1,-1,0,0,0.392144405,0.216360528,-0.170986437,0.082721659,-0.30534633,0.126756491,0.108193771,-0.416123725,0
41,muratkokludataset,CC0-1.0,5,0.875,56508,1632,5242,0,0,3,0,0.40775516,0.220585544,-0.169378335,0.088207208,-0.325924631,0.135432741,0.116007517,-0.423467973,0
42,navoneel,copyright-authors,2,0.5,367079,863,44475,0,0,-1,0,0.630891457,0.270696804,-0.289439179,0.086955898,-0.487887055,0.216843675,0.199731586,-0.702533598,0
43,niteshfre,other,6,0.8125,22600,72,3328,1,0,0,1,0.447837814,0.23684076,-0.17598698,0.076585683,-0.347028993,0.149908453,0.116929447,-0.446183089,0
44,paultimothymooney,other,2,0.75,1712277,5338,192286,0,0,0,0,0.37046814,0.206386889,-0.154466571,0.07982235,-0.287936433,0.112924193,0.095390869,-0.390312197,0
45,pratik2901,Attribution 4.0 International (CC BY 4.0),4,0.875,20048,39,3727,3,-1,0,0,0.423693833,0.229558989,-0.163075402,0.075433534,-0.334893364,0.134737764,0.11766823,-0.428625009,0
46,projectshs,other,2,0.875,3776,20,270,1,-2,0,0,0.420025973,0.223956658,-0.157765744,0.079251761,-0.332066843,0.138248484,0.108508882,-0.437470946,0
47,puneet6060,copyright-authors,6,0.75,350741,1243,65480,1,-1,-1,1,0.447526439,0.237338208,-0.182421354,0.090307063,-0.358890701,0.149711007,0.101588909,-0.457187753,0
48,ravirajsinh45,Attribution-NonCommercial-NoDerivatives 4.0 International (CC BY-NC-ND 4.0),2,0.875,85123,237,7590,0,-3,-1,0,0.379017528,0.210190339,-0.151549066,0.073502267,-0.297944203,0.114065913,0.097568371,-0.399972086,0
49,rishabkoul1,CC0-1.0,9,0.875,5771,9,771,0,0,0,-1,0.402904803,0.222211492,-0.160949369,0.084216157,-0.330161353,0.142126476,0.106092423,-0.434060617,0
50,rogeriovaz,CC0-1.0,5,0.875,1889,15,226,-1,0,1,-1,0.456227249,0.25598396,-0.179555764,0.08933059,-0.364234546,0.142033641,0.119617689,-0.444781025,0
51,salader,unknown,2,0.375,7931,35,2766,0,1,-1,0,0.44751491,0.254169954,-0.196639988,0.198683554,-0.193209957,0.109007657,0.139417554,-0.370237422,0
52,sanikamal,other,3,0.875,31532,68,3310,0,0,2,-1,0.380771123,0.232731247,-0.171300603,0.083563105,-0.309591447,0.106218013,0.119096891,-0.429117284,0
53,sapal6,CC-BY-SA-4.0,3,0.5625,12430,24,1172,2,0,-1,1,0.562037865,0.293531267,-0.20704276,0.098801696,-0.428010127,0.15621256,0.119539816,-0.560262875,0
54,sartajbhuvaji,CC0-1.0,4,0.875,175218,350,18938,0,-1,1,1,0.356362307,0.173633005,-0.159354428,0.062791134,-0.279993937,0.112471311,0.104713575,-0.389971772,0
55,shanmukh05,ODbL-1.0,6,0.875,1260,7,31,1,-1,-1,1,0.446951462,0.245832401,-0.17263386,0.086807331,-0.35795238,0.143998801,0.106476801,-0.460245759,0
56,singhdatascientist,CC0-1.0,2,0.75,1375,5,211,0,0,0,0,0.421180101,0.210046114,-0.160329822,0.078334,-0.320568411,0.134969276,0.103879818,-0.42769862,0
57,slothkong,CC0-1.0,10,0.8125,120503,454,21608,3,-5,2,0,0.368472703,0.208556294,-0.144777914,0.068679734,-0.287706397,0.112614821,0.096376595,-0.390453561,0
58,tarandeep97,DbCL-1.0,2,0.875,3011,11,205,1,1,0,0,0.431228526,0.240545255,-0.170742402,0.08945851,-0.345327133,0.143264483,0.112539073,-0.461435404,0
59,techsash,CC-BY-SA-4.0,2,0.875,138732,316,14927,1,0,-1,0,0.472990332,0.2587726,-0.18203745,0.089071984,-0.344701551,0.124115409,0.110338156,-0.476572328,0
60,thedatasith,CC0-1.0,2,1,2130,20,188,1,0,0,1,0.429423792,0.229258229,-0.165249321,0.086353346,-0.348108306,0.133471919,0.11044037,-0.4610103,0
61,tolgadincer,other,2,0.8125,30592,93,5017,0,0,0,0,0.376966597,0.20903801,-0.157352819,0.081108913,-0.295070366,0.120271726,0.099011706,-0.395274183,0
62,tongpython,CC0-1.0,2,0.75,241693,910,65826,0,1,-1,0,0.457815786,0.249283262,-0.183917951,0.119144472,-0.326742971,0.139835592,0.133643864,-0.461037542,0
63,utkarshsaxenadn,CC0-1.0,10,0.875,351,9,21,3,-5,2,0,0.388236964,0.210455539,-0.15510687,0.06992319,-0.317892111,0.121782276,0.110624599,-0.410244879,0
64,vencerlanz09,CC-BY-SA-4.0,3,0.875,3219,33,253,0,1,0,-2,0.460732576,0.24996161,-0.174232161,0.103727784,-0.365795466,0.137149349,0.122731238,-0.479861241,0
65,vencerlanz09,CC-BY-SA-4.0,2,0.875,844,24,85,0,0,1,1,0.422213059,0.229021565,-0.161372071,0.089667934,-0.330444144,0.138854518,0.111112703,-0.449381303,0
66,vijaygiitk,CC0-1.0,5,0.705882353,23582,40,2976,-1,0,1,-1,0.562393415,0.320523018,-0.203728378,0.108926088,-0.461229685,0.172805698,0.148719891,-0.580331389,0
67,vijaykumar1799,CC0-1.0,3,0.875,25232,66,3614,-1,-2,0,0,0.446627488,0.241174479,-0.179276218,0.09274744,-0.355247066,0.140657027,0.110482032,-0.472831558,0
68,vinayakshanawad,CC0-1.0,3,0.8125,2274,16,194,2,0,1,-1,0.411206667,0.244925381,-0.156990472,0.084651102,-0.319749609,0.147411749,0.104276503,-0.440762135,0
69,vivmankar,CC0-1.0,2,0.75,7641,30,909,2,0,0,0,0.495822038,0.270632593,-0.181879158,0.100016147,-0.38735973,0.150676511,0.108677765,-0.507950731,0
70,yaswanthgali,CC0-1.0,4,0.875,5600,27,468,2,-1,1,3,0.406016101,0.214885724,-0.155250382,0.082475181,-0.315015303,0.126134811,0.087693127,-0.414518777,0
71,zulfikarkhalik,unknown,6,0,462,1,4,1,0,0,1,0.177364379,0.075347841,-0.091034323,0.006256871,-0.083623119,0.051863533,0.039215613,-0.090295866,0
