dataset_id,v1,v2,v3,v4,v5,min_x,min_y,max_x,max_y,mean_y
106,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,511,31.19557949
107,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,11,501,31.31965082
108,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,11,444,31.12537147
109,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,220,30.5089153
110,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,11,178,29.66381872
111,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,10,498,31.11144131
112,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,497,31.08692422
113,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,14,211,30.58413819
114,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,13,185,29.38187221
115,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,11,473,31.23959881
116,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,9,248,29.75984398
117,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,169,29.08915305
118,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,11,470,31.17459138
119,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,11,484,31.22102526
120,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,13,440,31.00092868
121,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,204,30.54531947
122,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,238,29.82187964
123,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,8,189,29.20059435
124,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,11,465,31.29123328
125,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,13,472,31.32466568
126,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,218,30.65824666
127,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,185,29.49089896
128,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,13,468,31.39784547
129,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,11,462,31.07299406
130,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,11,476,30.64914562
131,0.000974412,0.037947289,0.067952491,0.069808694,-0.11819196,10.007,79.97300241,12,180,29.21322437
