dataset_id,model_id,balance_accuracy
68,1790,0.333627538
9,1353,0.579993689
65,566,0.396358543
48,936,0.426918889
10,731,0.739572737
33,1865,0.23460574
68,1317,0.323036187
21,606,0.79357022
25,705,0.5406
62,1486,0.47009392
9,1635,0.480593247
37,985,0.178221289
61,1542,0.272587532
38,392,0.246666667
12,1351,0.4205
12,305,0.625
2,885,0.303928836
27,398,0.517391304
35,966,0.76635514
31,870,0.468819599
51,107,0.989
19,558,0.676904903
51,1357,0.5316
62,432,0.341571923
14,302,0.511
23,659,0.70781893
34,934,0.498364944
34,195,0.370176586
2,145,0.565625
71,150,0.206521739
67,241,0.924412094
15,932,0.5
8,879,0.094017094
43,920,0.186594203
20,966,0.512562814
29,824,0.205280172
11,656,0.320864505
42,1700,0.4743083
69,120,0.499027237
33,161,0.349400947
70,1003,0.287981859
67,231,0.979283315
18,357,0.453881279
69,107,0.493190661
21,616,0.397208122
18,544,0.6456621
2,138,0.239583333
62,266,0.505684627
32,795,0.681445783
56,1477,0.7805
26,1224,0.593992248
16,500,0.325411335
40,1408,0.033488372
42,1139,0.387351779
9,1488,0.608709372
20,962,0.467336683
63,1511,0.110783736
1,1644,0.86509636
12,1628,0.311
6,1765,0.485722131
69,313,0.496108949
62,1041,0.44982699
55,1853,0.131333333
71,1454,0.268115942
24,681,0.724465558
51,1624,0.5672
13,931,0.325702393
1,107,0.995003569
31,816,0.228285078
43,1460,0.14673913
7,376,0.9945
14,98,0.715
44,1185,0.93852459
66,1211,0.217213115
16,1377,0.331809872
57,1055,0.123524784
21,1382,0.500423012
7,1361,0.509
44,1608,0.729678962
9,422,0.608709372
57,1053,0.087332809
62,255,0.545229857
53,1401,0.380116959
38,1626,0.666666667
46,327,0.920651068
45,1107,0.072759539
19,556,0.857058476
38,445,0.5
35,587,0.420560748
53,1548,0.379228014
29,803,0.290409483
23,1771,0.520576132
61,1184,0.923668033
19,571,0.744240992
58,1191,0.485714286
65,554,0.412698413
28,875,0.248128743
9,1361,0.593247081
14,385,0.781
66,1327,0.332679739
9,423,0.386872831
12,1492,0.5
35,1584,0.700934579
36,1433,0.200852424
31,854,0.307349666
56,1362,0.3295
5,860,0.243281471
71,1167,0.253623188
14,1046,0.4295
26,1242,0.548449612
54,1008,0.153186275
58,1172,0.907142857
55,1163,0.225333333
47,158,0.173
61,1192,0.960382514
3,147,0.347729172
34,943,0.5
11,361,0.501246883
39,1500,0.108998733
38,99,0.665
1,1811,0.496788009
71,148,0.135869565
39,682,0.192648923
32,140,0.387685291
61,1176,0.957991803
16,517,0.325411335
9,316,0.391290628
0,706,0.424623116
55,1466,0.550333333
60,583,0.487437186
46,338,0.500508647
63,691,0.1187
54,1443,0.153186275
9,307,0.454717577
43,903,0.266304348
13,767,0.479708637
32,283,0.131536279
6,361,0.49066447
68,708,0.412180053
40,1075,0.064186047
48,457,0.509662493
14,116,0.5905
47,1260,0.788
71,1265,0.231884058
27,943,0.410869565
68,1795,0.283318623
47,154,0.184333333
2,879,0.216456635
10,1226,0.506612411
1,375,0.996074233
60,1585,0.706030151
44,1612,0.729678962
60,971,0.489949749
22,1767,0.480853127
12,308,0.5
24,1648,0.083927158
11,658,0.498753117
9,1812,0.545913537
26,746,0.766472868
26,1246,0.648255814
61,1611,0.482752732
13,928,0.572320499
43,1167,0.253623188
68,1320,0.346866726
12,1816,0.524
66,1103,0.226143791
41,1206,0.189820359
7,443,0.5365
6,352,0.52800659
30,861,0.305621536
29,218,0.324892241
24,1671,0.091053048
62,1475,0.492338112
61,1524,0.729461998
7,1631,0.507
22,627,0.990305381
58,1618,0.5
42,1132,0.355731225
11,353,0.440565254
7,1355,0.457
14,378,0.9935
58,1613,0.475
1,318,0.529978587
43,901,0.278985507
47,1453,0.922333333
71,163,0.166666667
36,999,0.280589593
53,1549,0.60206924
22,530,0.569558895
36,979,0.375776949
9,1636,0.597033765
11,654,0.353283458
29,797,0.314116379
28,882,0.159056886
51,305,0.6262
6,526,0.542284459
69,1488,0.495136187
32,139,0.883694413
61,1174,0.908128415
35,1589,0.242990654
13,177,0.452653486
9,1637,0.54559798
67,638,0.394176932
68,715,0.30141218
49,1316,0.138888889
41,1346,0.26506986
39,689,0.116603295
54,1006,0.215379902
50,1107,0.168
49,697,0.41025641
41,1204,0.218562874
7,435,0.5175
16,493,0.342778793
59,1074,0.028253084
47,1170,0.273666667
32,125,0.211517165
42,561,0.47826087
14,372,0.776
46,339,0.5
1,1351,0.417915774
50,1732,0.204
21,508,0.340524535
33,1159,0.147116188
39,1662,0.086185044
46,1245,0.856052899
46,1229,0.550356053
29,798,0.273168103
71,1258,0.201086957
43,1261,0.137681159
15,936,0.762214984
33,1853,0.117860128
22,647,0.488124091
1,1625,0.481084939
48,409,0.573081111
24,685,0.4101346
67,1757,0.372900336
20,1574,0.77638191
67,625,0.586226204
23,242,0.481481481
9,383,0.618491638
48,1295,0.991698421
52,600,0.655036468
2,273,0.203381978
12,266,0.5055
31,801,0.262806236
65,571,0.445378151
12,106,0.9895
10,1230,0.568667345
5,202,0.437765205
56,388,0.503
34,401,0.436232832
48,1279,0.993875885
1,1487,0.503211991
14,108,0.562
69,1494,0.523346304
24,1668,0.121140143
13,415,0.985431842
38,1809,0.748333333
45,1742,0.224489796
3,1148,0.164391195
22,650,0.475521086
39,1651,0.095057034
58,1184,0.85
9,1486,0.503313348
55,1469,0.872
7,1633,0.5
19,568,0.7749557
70,1021,0.235827664
66,1198,0.346721311
4,469,0.521603006
52,510,0.333333333
41,1109,0.203992016
40,1547,0.408372093
22,545,0.633543383
45,1120,0.113575865
62,1638,0.543252595
9,436,0.437993058
47,908,0.188666667
63,679,0.1
7,1489,0.5
59,1548,0.379228014
24,1052,0.141726049
14,261,0.5
43,1271,0.157608696
