dataset,predict_balance_accuracy,groundtruth_balance_accuracy,model
1,0.980811105,0.503568879,1352
1,0.990473598,0.429693076,1353
1,0.993875885,0.56923626,1354
1,0.991834513,0.45503212,1355
1,0.99346761,0.502498216,1356
1,0.991426238,0.526766595,1357
1,,0.5,1358
1,0.9570274,0.500713776,1359
1,0.99605756,0.529978587,1360
1,0.999605756,0.500713776,1361
1,,0.517130621,1362
1,0.993739793,0.462883655,1363
1,,0.496431121,1364
1,0.988432226,0.248037116,1365
1,,0.498572448,1366
1,0.994964616,0.513204854,1367
1,,0.505353319,1368
1,0.994692433,0.913276231,1369
1,0.991698421,0.947180585,1370
1,0.944805835,0.551034975,1371
1,0.964518037,0.518201285,1472
1,,0.481441827,1473
1,0.981076286,0.519628837,1474
1,0.995279308,0.490720914,1475
1,0.99606609,0.493576017,1476
1,0.903346995,0.631334761,1477
1,0.998426436,0.575303355,1478
1,0.996852872,0.476802284,1479
1,0.996852872,0.618843683,1480
1,0.989771833,0.589578872,1481
1,0.988985051,0.516773733,1482
1,,0.5,1483
1,0.9570274,0.5,1484
1,0.99605756,0.505710207,1485
1,0.999605756,0.47751606,1486
1,0.965306525,0.503211991,1487
1,0.966955153,0.495003569,1488
1,,0.5,1489
1,0.9693155,0.5,1490
1,,0.5,1491
1,0.966168371,0.5,1492
1,,0.480728051,1493
1,0.951666667,0.592790864,1494
1,0.916601101,0.514989293,1495
1,0.944805835,0.5,1496
1,0.907483795,0.508208423,1622
1,0.929876252,0.507851535,1623
1,0.931054803,0.568522484,1624
1,0.974874372,0.481084939,1625
1,0.99606609,0.538900785,1626
1,0.903346995,0.736259814,1627
1,0.998426436,0.311206281,1628
1,0.996852872,0.537830121,1629
1,0.957286432,0.521770164,1630
1,0.954773869,0.505710207,1631
1,0.988985051,0.568879372,1632
1,,0.5,1633
1,,0.530692363,1634
1,0.935179729,0.562098501,1635
1,,0.51391863,1636
1,,0.5,1637
1,0.942211055,0.535331906,1638
1,0.913333333,0.480371163,1639
1,0.9693155,0.398286938,1640
1,0.929876252,0.5,1641
1,,0.501427552,1642
1,0.919269299,0.5,1643
1,,0.86509636,1644
1,0.916601101,0.947894361,1645
1,0.916322923,0.539614561,1646
1,0.907483795,0.433261956,1797
1,0.929876252,0.496074233,1798
1,0.931054803,0.457530335,1799
1,,0.463954318,1800
1,,0.61598858,1801
1,,0.626695218,1802
1,,0.628479657,1803
1,,0.560670949,1804
1,,0.512491078,1805
1,,0.369735903,1806
1,,0.457530335,1807
1,,0.523911492,1808
1,,0.473947181,1809
1,0.935179729,0.496431121,1810
1,,0.496788009,1811
1,,0.521770164,1812
1,,0.496788009,1813
1,0.913333333,0.492862241,1814
1,,0.548536759,1815
1,0.929876252,0.526052819,1816
1,,0.634189864,1817
1,0.919269299,0.5,1818
1,,0.521770164,1819
1,0.938,0.533904354,1820
1,0.916322923,0.526766595,1821
10,0.972267985,0.557985758,322
10,0.971169687,0.679043744,323
10,0.924037461,0.689725331,324
10,0.993756504,0.498982706,325
10,0.986472425,0.523397762,326
10,0.920651068,0.920651068,327
10,0.993756504,0.322990844,328
10,0.991675338,0.309257375,329
10,0.968782518,0.476093591,330
10,0.987513007,0.553407935,331
10,0.976066597,0.486266531,332
10,,0.486775178,333
10,0.921746293,0.500508647,334
10,0.982152663,0.517802645,335
10,0.984349259,0.54069176,336
10,0.92778693,0.501017294,337
10,0.987513007,0.500508647,338
10,0.95579352,0.5,339
10,0.985431842,0.508138352,340
10,0.938495332,0.5,341
10,0.995837669,0.534587996,342
10,0.961010434,0.503051882,343
10,0.964620187,0.845879959,344
10,0.970863684,0.856561546,345
10,0.958813839,0.566632757,346
10,0.956374212,0.623092574,722
10,0.895348837,0.682095626,723
10,0.937015504,0.695320448,724
10,0.999031008,0.746185148,725
10,0.99127907,0.684638861,726
10,0.972868217,0.757884028,727
10,0.987403101,0.707527976,728
10,0.99127907,0.789928789,729
10,0.993217054,0.81180061,730
10,0.99127907,0.739572737,731
10,0.99127907,0.871312309,732
10,,0.538148525,733
10,,0.630722279,734
10,0.939893359,0.589013225,735
10,0.96994668,0.606307223,736
10,,0.589013225,737
10,0.942829457,0.723296033,738
10,,0.671922686,739
10,0.971899225,0.833672431,740
10,,0.519837233,741
10,0.977713178,0.756358087,742
10,,0.630722279,743
10,0.953488372,0.681078332,744
10,0.978682171,0.745676501,745
10,,0.626653103,746
10,0.907142857,0.490844354,1222
10,0.919161677,0.631230926,1223
10,0.948829614,0.567141404,1224
10,0.942857143,0.510681587,1225
10,0.907142857,0.506612411,1226
10,0.950661241,0.950661241,1227
10,0.9,0.424720244,1228
10,0.946428571,0.550356053,1229
10,0.942857143,0.568667345,1230
10,0.914333333,0.733468973,1231
10,0.939285714,0.686673449,1232
10,,0.5,1233
10,,0.498982706,1234
10,0.932142857,0.477110885,1235
10,,0.496439471,1236
10,,0.508646999,1237
10,0.916666667,0.5,1238
10,,0.5,1239
10,0.95,0.5,1240
10,,0.5,1241
10,0.932142857,0.501525941,1242
10,0.936646175,0.5,1243
10,0.914285714,0.837741607,1244
10,0.942857143,0.856052899,1245
10,,0.587995931,1246
15,0.972267985,0.408794788,172
15,0.971169687,0.457654723,173
15,0.977210324,0.382736156,174
15,0.998352554,0.5,175
15,0.999176277,0.5,176
15,0.920651068,0.5,177
15,0.999725426,0.5,178
15,0.998901702,0.5,179
15,0.997803405,0.5,180
15,0.998901702,0.503257329,181
15,0.999176277,0.5,182
15,,0.368078176,183
15,0.921746293,0.350162866,184
15,0.982152663,0.530944625,185
15,0.984349259,0.501628664,186
15,,0.364820847,187
15,0.998627128,0.741042345,188
15,0.95579352,0.519543974,189
15,0.999450851,0.664495114,190
15,0.938495332,0.294788274,191
15,0.997803405,0.747557003,192
15,0.961010434,0.40228013,193
15,0.995606809,0.374592834,194
15,0.99752883,0.30781759,195
15,0.958813839,0.496742671,196
15,,0.5,397
15,,0.687296417,398
15,0.924037461,0.5,399
15,0.993756504,0.5,400
15,0.986472425,0.5,401
15,0.920651068,0.5,402
15,0.993756504,0.5,403
15,0.991675338,0.5,404
15,0.968782518,0.5,405
15,0.987513007,0.5,406
15,0.976066597,0.5,407
15,,0.408794788,408
15,,0.5,409
15,,0.5,410
15,,0.5,411
15,0.92778693,0.638436482,412
15,0.987513007,0.591205212,413
15,,0.557003257,414
15,0.985431842,0.5,415
15,,0.470684039,416
15,0.995837669,0.5,417
15,,0.618892508,418
15,0.964620187,0.5,419
15,0.970863684,0.48534202,420
15,,0.473941368,421
15,,0.931596091,447
15,,0.95276873,448
15,0.924037461,0.964169381,449
15,0.993756504,0.5,450
15,0.986472425,0.5,451
15,0.920651068,0.5,452
15,0.993756504,0.5,453
15,0.991675338,0.5,454
15,0.968782518,0.688925081,455
15,0.987513007,0.5,456
15,0.976066597,0.5,457
15,,0.938110749,458
15,,0.956026059,459
15,,0.949511401,460
15,,0.947882736,461
15,,0.942996743,462
15,0.987513007,0.7752443,463
15,,0.929967427,464
15,0.985431842,0.776872964,465
15,,0.970684039,466
15,0.995837669,0.794788274,467
15,,0.938110749,468
15,0.964620187,0.928338762,469
15,0.970863684,0.908794788,470
15,,0.95276873,471
15,0.956374212,0.519543974,747
15,0.969461949,0.498371336,748
15,0.956374212,0.513029316,749
15,0.952674897,0.5,750
15,0.952674897,0.5,751
15,0.919067215,0.5,752
15,0.947187929,0.5,753
15,0.953360768,0.5,754
15,0.97527872,0.535830619,755
15,0.968007756,0.465798046,756
15,0.956790123,0.5,757
15,,0.589576547,758
15,,0.543973941,759
15,0.939893359,0.553745928,760
15,0.96994668,0.589576547,761
15,,0.615635179,762
15,0.980610761,0.664495114,763
15,,0.529315961,764
15,0.992244304,0.625407166,765
15,,0.558631922,766
15,0.939643347,0.600977199,767
15,,0.615635179,768
15,0.919753086,0.465798046,769
15,0.977217644,0.504885993,770
15,,0.53257329,771
15,0.988333333,0.728013029,922
15,1.0,0.63029316,923
15,1.0,0.672638436,924
15,1.0,0.5,925
15,1.0,0.5,926
15,1.0,0.498371336,927
15,1.0,0.486970684,928
15,1.0,0.5,929
15,1.0,0.486970684,930
15,1.0,0.40228013,931
15,1.0,0.5,932
15,,0.503257329,933
15,0.996666667,0.509771987,934
15,1.0,0.700325733,935
15,1.0,0.762214984,936
15,,0.527687296,937
15,1.0,0.231270358,938
15,0.998333333,0.524429967,939
15,1.0,0.288273616,940
15,0.953333333,0.667752443,941
15,1.0,0.276872964,942
15,0.933333333,0.693811075,943
15,1.0,0.622149837,944
15,1.0,0.672638436,945
15,0.995,0.522801303,946
15,0.907142857,0.53257329,1272
15,0.93954918,0.509771987,1273
15,0.948829614,0.314332248,1274
15,0.942857143,0.5,1275
15,0.907142857,0.5,1276
15,0.950661241,0.5,1277
15,0.9,0.5,1278
15,0.946428571,0.5,1279
15,0.942857143,0.5,1280
15,0.914333333,0.5,1281
15,0.939285714,0.5,1282
15,,0.5,1283
15,0.9570274,0.578175896,1284
15,0.932142857,0.407166124,1285
15,0.999605756,0.498371336,1286
15,,0.5,1287
15,0.916666667,0.5,1288
15,,0.5,1289
15,0.95,0.5,1290
15,,0.469055375,1291
15,0.932142857,0.486970684,1292
15,0.936646175,0.5,1293
15,0.914285714,0.5,1294
15,0.942857143,0.5,1295
15,0.944805835,0.5,1296
17,,0.333333333,472
17,,0.333333333,473
17,0.924037461,0.333333333,474
17,0.9925,0.333333333,475
17,0.9945,0.364453665,476
17,0.906091371,0.333333333,477
17,0.9945,0.350276625,478
17,0.996,0.415629322,479
17,0.9895,0.335408022,480
17,0.9915,0.286652835,481
17,0.9915,0.335408022,482
17,,0.336099585,483
17,,0.381396957,484
17,,0.333333333,485
17,,0.328838174,486
17,,0.346818811,487
17,0.97,0.333333333,488
17,,0.333333333,489
17,0.9865,0.38208852,490
17,,0.333333333,491
17,0.986,0.333333333,492
17,,0.333333333,493
17,0.9775,0.553250346,494
17,0.9325,0.336099585,495
17,,0.333333333,496
17,0.956374212,0.333333333,497
17,,0.333333333,498
17,0.924037461,0.333333333,499
17,0.993756504,0.333333333,500
17,0.986472425,0.333333333,501
17,0.906091371,0.334370678,502
17,0.9945,0.333333333,503
17,0.991675338,0.333333333,504
17,0.9895,0.333333333,505
17,0.9915,0.333333333,506
17,0.9915,0.333333333,507
17,,0.333333333,508
17,,0.333333333,509
17,0.939893359,0.333333333,510
17,,0.333333333,511
17,0.92778693,0.333333333,512
17,0.987513007,0.333333333,513
17,,0.333333333,514
17,0.9865,0.333333333,515
17,,0.333333333,516
17,0.995837669,0.333333333,517
17,,0.333333333,518
17,0.9775,0.333333333,519
17,0.9325,0.333333333,520
17,,0.333333333,521
17,0.956374212,0.333333333,597
17,0.969461949,0.352697095,598
17,0.956374212,0.371715076,599
17,0.982549685,0.677385892,600
17,0.981580223,0.502074689,601
17,0.906091371,0.699515906,602
17,0.976732913,0.39626556,603
17,0.963160446,0.382434302,604
17,0.97527872,0.333333333,605
17,0.968007756,0.333333333,606
17,0.96994668,0.352005533,607
17,,0.30428769,608
17,,0.31120332,609
17,0.939893359,0.384163209,610
17,0.96994668,0.338520055,611
17,,0.298063624,612
17,0.980610761,0.491701245,613
17,,0.321922545,614
17,0.992244304,0.421161826,615
17,,0.389004149,616
17,0.993213766,0.335062241,617
17,,0.326071923,618
17,0.98012603,0.64626556,619
17,0.977217644,0.522475795,620
17,,0.25242047,621
17,0.964518037,0.93153527,1372
17,0.919161677,0.782157676,1373
17,0.981076286,0.934301521,1374
17,0.99901439,0.970954357,1375
17,0.998817268,0.978907331,1376
17,0.995466194,0.995504841,1377
17,0.999802878,0.977178423,1378
17,0.996451804,0.968188105,1379
17,0.999605756,0.973720609,1380
17,0.99901439,0.978907331,1381
17,0.995663316,0.97406639,1382
17,,0.425311203,1383
17,0.9570274,0.925311203,1384
17,0.99605756,0.98824343,1385
17,0.999605756,0.991355463,1386
17,,0.926694329,1387
17,0.998817268,0.967150761,1388
17,,0.482019364,1389
17,0.99901439,0.976141079,1390
17,,0.344052559,1391
17,0.998620146,0.971991701,1392
17,,0.645919779,1393
17,0.999211512,0.980636238,1394
17,0.999211512,0.983056708,1395
17,0.944805835,0.883471646,1396
32,0.972267985,0.892595575,122
32,0.971169687,0.864970241,123
32,0.977210324,0.911541295,124
32,0.998352554,0.2,125
32,0.999176277,0.2,126
32,0.998901702,0.2,127
32,0.999725426,0.208291765,128
32,0.998901702,0.2,129
32,0.997803405,0.252362144,130
32,0.998901702,0.229504234,131
32,0.999176277,0.20104712,132
32,,0.854767854,133
32,0.921746293,0.848400542,134
32,0.982152663,0.88732791,135
32,0.984349259,0.90388069,136
32,0.92778693,0.873604317,137
32,0.998627128,0.412865199,138
32,0.95579352,0.881458987,139
32,0.999450851,0.379180971,140
32,0.938495332,0.884183164,141
32,0.997803405,0.330249726,142
32,0.961010434,0.898462597,143
32,0.995606809,0.770258367,144
32,0.99752883,0.738534281,145
32,0.958813839,0.878776262,146
32,0.972267985,0.183658713,272
32,0.971169687,0.18115996,273
32,0.977210324,0.18976886,274
32,0.998352554,0.200609756,275
32,0.999176277,0.2,276
32,0.998901702,0.2,277
32,0.999725426,0.2,278
32,0.998901702,0.2,279
32,0.997803405,0.2,280
32,0.998901702,0.199991996,281
32,0.999176277,0.2,282
32,,0.132291447,283
32,0.921746293,0.170972914,284
32,0.982152663,0.145098579,285
32,0.984349259,0.176705677,286
32,0.92778693,0.196493196,287
32,0.998627128,0.202079068,288
32,0.95579352,0.127619189,289
32,0.999450851,0.202216606,290
32,0.938495332,0.124007148,291
32,0.997803405,0.201287544,292
32,0.961010434,0.20333063,293
32,0.995606809,0.199597498,294
32,0.99752883,0.196833902,295
32,0.958813839,0.181890784,296
32,,0.853900474,772
32,0.895348837,0.894472147,773
32,0.937015504,0.879860107,774
32,0.999031008,0.2,775
32,0.99127907,0.2,776
32,0.919067215,0.2,777
32,0.947187929,0.202432641,778
32,0.99127907,0.2,779
32,0.993217054,0.2,780
32,0.99127907,0.227119713,781
32,0.956790123,0.2,782
32,,0.842209507,783
32,,0.840659918,784
32,0.932608696,0.85524705,785
32,,0.867161508,786
32,,0.835792028,787
32,0.942829457,0.32105343,788
32,,0.861593845,789
32,0.953360768,0.355550619,790
32,,0.836228999,791
32,0.939643347,0.280476455,792
32,,0.873608508,793
32,0.919753086,0.689401976,794
32,0.936899863,0.678070346,795
32,,0.852066461,796
32,,0.88841991,872
32,,0.900705039,873
32,,0.911984229,874
32,,0.2,875
32,,0.2,876
32,,0.2,877
32,,0.214385917,878
32,,0.2,879
32,,0.2,880
32,,0.2592602,881
32,,0.2,882
32,,0.889212393,883
32,,0.862720077,884
32,,0.923342441,885
32,,0.902065822,886
32,,0.849965626,887
32,,0.378219362,888
32,,0.926168092,889
32,,0.359788392,890
32,,0.892886681,891
32,,0.390309695,892
32,,0.905209009,893
32,,0.753996183,894
32,,0.738446402,895
32,,0.903441531,896
35,0.956374212,0.422439024,572
35,0.969461949,0.686829268,573
35,0.956374212,0.518292683,574
35,0.982549685,0.475609756,575
35,0.981580223,0.41195122,576
35,0.944723618,0.987804878,577
35,0.976732913,0.648536585,578
35,0.963160446,0.365365854,579
35,0.97527872,0.584878049,580
35,0.968007756,0.450487805,581
35,0.96994668,0.684878049,582
35,,0.5,583
35,,0.5,584
35,0.939893359,0.550243902,585
35,0.96994668,0.550243902,586
35,,0.510731707,587
35,0.980610761,0.388780488,588
35,,0.5,589
35,0.992244304,0.469512195,590
35,,0.5,591
35,0.993213766,0.520731707,592
35,,0.565121951,593
35,0.98012603,0.713902439,594
35,0.977217644,0.747804878,595
35,,0.512195122,596
35,0.988333333,0.442926829,947
35,1.0,0.603658537,948
35,1.0,0.518292683,949
35,1.0,0.650731707,950
35,1.0,0.639756098,951
35,1.0,0.66,952
35,1.0,0.472682927,953
35,1.0,0.598536585,954
35,1.0,0.479756098,955
35,1.0,0.720731707,956
35,1.0,0.489512195,957
35,,0.52,958
35,0.996666667,0.559756098,959
35,1.0,0.557317073,960
35,1.0,0.543658537,961
35,,0.399756098,962
35,1.0,0.547560976,963
35,0.998333333,0.5,964
35,1.0,0.493902439,965
35,0.953333333,0.5,966
35,1.0,0.5,967
35,0.933333333,0.52,968
35,1.0,0.5,969
35,1.0,0.5,970
35,0.995,0.506097561,971
35,0.907483795,0.754390244,1572
35,0.929876252,0.795365854,1573
35,0.931054803,0.85804878,1574
35,0.974874372,0.975609756,1575
35,0.979899497,0.981707317,1576
35,0.967336683,0.969512195,1577
35,0.977386935,0.981707317,1578
35,0.979899497,0.981707317,1579
35,0.957286432,0.955609756,1580
35,0.954773869,0.961707317,1581
35,0.959798995,0.937317073,1582
35,,0.5,1583
35,,0.665853659,1584
35,0.935179729,0.737317073,1585
35,,0.696097561,1586
35,,0.546829268,1587
35,0.942211055,0.955609756,1588
35,0.934001179,0.506097561,1589
35,0.932160804,0.963414634,1590
35,0.929876252,0.594146341,1591
35,0.966168371,0.847804878,1592
35,0.919269299,0.583414634,1593
35,0.951666667,0.935609756,1594
35,0.927135678,0.955609756,1595
35,0.916322923,0.622439024,1596
47,0.972267985,0.18621695,147
47,0.971169687,0.198287566,148
47,0.977210324,0.196665605,149
47,0.998352554,0.12695989,150
47,0.999176277,0.075954505,151
47,0.998901702,0.157023719,152
47,0.999725426,0.156904588,153
47,0.998901702,0.188011978,154
47,0.997803405,0.106116985,155
47,0.998901702,0.134447803,156
47,0.999176277,0.307924978,157
47,,0.164898774,158
47,0.921746293,0.162498732,159
47,0.982152663,0.140288682,160
47,0.984349259,0.182632621,161
47,,0.17658516,162
47,0.998627128,0.156510569,163
47,0.95579352,0.170712322,164
47,0.999450851,0.166136858,165
47,0.938495332,0.145882511,166
47,0.997803405,0.149152606,167
47,0.961010434,0.119875776,168
47,0.995606809,0.177856075,169
47,0.99752883,0.15092421,170
47,0.958813839,0.145331413,171
47,0.988333333,0.188530174,897
47,1.0,0.153341014,898
47,1.0,0.175579612,899
47,1.0,0.228318426,900
47,1.0,0.090711528,901
47,1.0,0.188587833,902
47,1.0,0.201507684,903
47,1.0,0.201555966,904
47,1.0,0.131294489,905
47,1.0,0.110465678,906
47,1.0,0.29677177,907
47,,0.171011949,908
47,0.996666667,0.134697737,909
47,1.0,0.160107473,910
47,1.0,0.161100672,911
47,,0.225286966,912
47,1.0,0.211812872,913
47,0.998333333,0.179796392,914
47,1.0,0.175772489,915
47,0.953333333,0.152687513,916
47,1.0,0.107152564,917
47,0.933333333,0.100684791,918
47,1.0,0.058521406,919
47,1.0,0.19685389,920
47,0.995,0.13924485,921
47,0.907142857,0.23299862,1147
47,0.919161677,0.212355737,1148
47,1.0,0.19865736,1149
47,0.918666667,0.220780689,1150
47,0.925666667,0.253430098,1151
47,0.950661241,0.206106474,1152
47,0.922666667,0.143974683,1153
47,0.923,0.143840185,1154
47,0.921333333,0.221431273,1155
47,0.914333333,0.106078393,1156
47,0.918666667,0.17603806,1157
47,,0.166835816,1158
47,,0.166999023,1159
47,0.932142857,0.233902742,1160
47,,0.167029955,1161
47,,0.189277651,1162
47,0.916666667,0.222433438,1163
47,,0.164520483,1164
47,0.915333333,0.322511751,1165
47,,0.166666667,1166
47,0.899666667,0.204252736,1167
47,0.936646175,0.105150037,1168
47,0.914285714,0.266362973,1169
47,0.942857143,0.265057801,1170
47,,0.166871609,1171
47,0.907142857,0.759410782,1247
47,0.919161677,0.79214292,1248
47,0.948829614,0.787609232,1249
47,0.918666667,0.921266906,1250
47,0.925666667,0.927829745,1251
47,0.950661241,0.89705022,1252
47,0.922666667,0.924765213,1253
47,0.923,0.924779574,1254
47,0.921333333,0.923340641,1255
47,0.914333333,0.915783203,1256
47,0.918666667,0.920739182,1257
47,,0.238325662,1258
47,,0.539139716,1259
47,0.932142857,0.791529764,1260
47,0.999605756,0.782598203,1261
47,0.965306525,0.572262967,1262
47,0.916666667,0.918888928,1263
47,,0.583280782,1264
47,0.915333333,0.91811476,1265
47,,0.535491168,1266
47,0.899666667,0.903237577,1267
47,0.936646175,0.667283508,1268
47,0.914285714,0.886396029,1269
47,0.942857143,0.8867093,1270
47,,0.628559431,1271
47,0.964518037,0.742058117,1447
47,,0.798913128,1448
47,0.981076286,0.782316019,1449
47,0.921666667,0.9238678,1450
47,0.929333333,0.93104723,1451
47,0.907333333,0.907210613,1452
47,0.922333333,0.924842827,1453
47,0.926666667,0.927948794,1454
47,0.923333333,0.925213791,1455
47,0.914666667,0.915233212,1456
47,0.919,0.921393157,1457
47,,0.193764257,1458
47,0.9570274,0.546358364,1459
47,0.99605756,0.80043098,1460
47,0.999605756,0.783090104,1461
47,,0.562785202,1462
47,0.911,0.913451183,1463
47,,0.494752478,1464
47,0.919,0.922084452,1465
47,,0.538597022,1466
47,0.912,0.914742197,1467
47,,0.661409052,1468
47,0.951666667,0.878385308,1469
47,0.916601101,0.88841296,1470
47,0.944805835,0.621504698,1471
47,0.907483795,0.179751431,1847
47,0.929876252,0.203638113,1848
47,0.931054803,0.200825776,1849
47,,0.182889735,1850
47,,0.111151128,1851
47,,0.23414392,1852
47,,0.146028599,1853
47,,0.229190341,1854
47,,0.104168937,1855
47,,0.132109006,1856
47,,0.148952512,1857
47,,0.166666667,1858
47,,0.087596489,1859
47,0.935179729,0.121767661,1860
47,,0.155439019,1861
47,,0.112824533,1862
47,,0.276429339,1863
47,0.934001179,0.166666667,1864
47,,0.153466626,1865
47,0.929876252,0.166666667,1866
47,,0.168525807,1867
47,0.919269299,0.166666667,1868
47,,0.246260048,1869
47,0.938,0.205462948,1870
47,0.916322923,0.170965342,1871
61,0.941939891,0.925197796,1172
61,0.93954918,0.944824257,1173
61,0.948829614,0.836034753,1174
61,0.946379781,0.924543982,1175
61,0.950990437,0.934627646,1176
61,0.980811105,0.907266816,1177
61,0.959528689,0.953578191,1178
61,0.956284153,0.940325324,1179
61,0.957821038,0.952548794,1180
61,0.946550546,0.951516146,1181
61,0.956113388,0.942875086,1182
61,,0.863819508,1183
61,,0.884860705,1184
61,0.93852459,0.913300826,1185
61,,0.89231359,1186
61,,0.77379723,1187
61,0.952356557,0.956758039,1188
61,,0.563533693,1189
61,0.961407104,0.958491957,1190
61,,0.800519843,1191
61,0.953893443,0.941236893,1192
61,0.936646175,0.928353103,1193
61,0.949965847,0.925925233,1194
61,0.958674863,0.953332706,1195
61,,0.904231923,1196
61,,0.498980344,1522
61,,0.5,1523
61,,0.499882959,1524
61,0.995279308,0.538727994,1525
61,0.99606609,0.68445545,1526
61,0.903346995,0.558548917,1527
61,0.998426436,0.524760831,1528
61,0.996852872,0.561426666,1529
61,0.996852872,0.529773122,1530
61,0.989771833,0.571353727,1531
61,0.988985051,0.39317377,1532
61,,0.5,1533
61,,0.5,1534
61,,0.5,1535
61,,0.5,1536
61,,0.5,1537
61,0.966955153,0.5,1538
61,0.913333333,0.499531835,1539
61,0.9693155,0.489264742,1540
61,,0.5,1541
61,0.966168371,0.501521536,1542
61,,0.5,1543
61,0.951666667,0.498515285,1544
61,0.916601101,0.499684144,1545
61,,0.5,1546
61,0.907483795,0.5,1597
61,0.929876252,0.558913902,1598
61,0.931054803,0.5207606,1599
