dataset_id,model_id,F1_Score
230,414, 1.0
217,317, 1.0
263,313, 0.9971098265895955
162,317, 1.0
50,653, 0.9090909090909091
148,524, 1.0
139,414, 0.923076923076923
95,539, 0.9090909090909091
214,460, 1.0
43,488, 0.9090909090909091
77,539, 0.9090909090909091
99,412, 1.0
212,427, 1.0
101,315, 1.0
95,485, 1.0
158,455, 0.9090909090909091
160,405, 0.9090909090909091
35,313, 1.0
151,461, 1.0
249,341, 0.9001406469760899
158,456, 0.9090909090909091
197,484, 1.0
221,401, 0.9090909090909091
147,336, 1.0
76,458, 0.9090909090909091
140,496, 0.923076923076923
152,346, 1.0
142,427, 0.923076923076923
83,507, 0.923076923076923
150,454, 0.923076923076923
108,374, 1.0
47,316, 0.9411764705882353
11,316, 0.9411764705882353
227,435, 1.0
179,335, 1.0
220,344, 0.9090909090909091
36,330, 0.9333333333333333
201,364, 0.9333333333333333
230,315, 1.0
96,517, 1.0
31,343, 0.9333333333333333
85,461, 0.9333333333333333
45,625, 0.9090909090909091
95,456, 0.9090909090909091
221,614, 0.9090909090909091
164,315, 1.0
86,536, 1.0
151,318, 1.0
151,316, 1.0
158,415, 0.9090909090909091
212,317, 0.9090909090909091
190,428, 1.0
223,363, 0.9523809523809523
169,455, 1.0
151,429, 1.0
149,329, 0.9090909090909091
101,541, 0.9090909090909091
229,359, 0.9090909090909091
184,446, 0.9090909090909091
163,539, 0.9090909090909091
101,373, 1.0
194,538, 0.9090909090909091
67,318, 1.0
184,512, 1.0
75,317, 1.0
162,315, 1.0
218,445, 1.0
197,340, 1.0
87,343, 1.0
188,326, 0.9090909090909091
96,370, 0.923076923076923
49,484, 1.0
67,420, 0.9333333333333333
227,334, 0.923076923076923
100,500, 0.923076923076923
205,507, 1.0
63,484, 0.9090909090909091
180,485, 0.9090909090909091
194,626, 0.9090909090909091
52,332, 0.9473684210526316
101,623, 0.9090909090909091
194,430, 1.0
46,316, 1.0
51,344, 0.923076923076923
223,348, 0.9
155,567, 0.9090909090909091
4,344, 0.923076923076923
108,317, 1.0
83,344, 1.0
140,332, 1.0
156,389, 1.0
4,343, 0.923076923076923
96,554, 1.0
44,487, 1.0
182,428, 1.0
104,444, 0.923076923076923
104,342, 0.923076923076923
82,458, 1.0
179,556, 1.0
117,316, 0.9473684210526316
63,486, 0.9090909090909091
194,317, 1.0
108,345, 1.0
145,510, 0.9090909090909091
46,486, 1.0
100,315, 1.0
50,542, 0.9090909090909091
54,438, 1.0
67,333, 1.0
86,366, 0.9090909090909091
44,444, 0.9090909090909091
44,447, 0.923076923076923
121,443, 1.0
46,455, 1.0
43,330, 0.9090909090909091
118,374, 0.9090909090909091
266,335, 0.9333333333333333
189,316, 0.923076923076923
45,510, 0.923076923076923
159,445, 1.0
140,512, 1.0
167,539, 0.9090909090909091
214,446, 1.0
60,577, 1.0
190,424, 0.923076923076923
45,458, 1.0
147,355, 1.0
87,373, 1.0
197,371, 1.0
233,388, 0.923076923076923
209,332, 1.0
44,446, 0.9090909090909091
84,450, 0.9090909090909091
200,417, 1.0
156,380, 0.9090909090909091
147,376, 1.0
156,432, 0.9090909090909091
61,365, 0.9411764705882353
76,510, 1.0
86,374, 0.9090909090909091
87,570, 0.9090909090909091
214,365, 1.0
159,331, 1.0
44,489, 1.0
181,452, 1.0
169,680, 0.9090909090909091
258,339, 0.9626696832579186
227,404, 0.923076923076923
140,316, 1.0
205,450, 1.0
86,336, 1.0
157,333, 1.0
258,335, 0.9043570669500531
106,486, 0.923076923076923
202,370, 0.923076923076923
202,315, 1.0
130,623, 0.9090909090909091
204,513, 1.0
167,486, 1.0
77,400, 1.0
150,458, 1.0
193,504, 1.0
133,486, 1.0
214,429, 1.0
259,335, 0.9117341640706127
227,338, 1.0
104,594, 0.9090909090909091
86,556, 1.0
202,372, 1.0
