dataset_id,model_id,balance_accuracy
7,1808, 0.5095
13,450, 0.265889371
5,799, 0.220501678
6,531, 0.498732283
16,1378, 0.584404051
53,1693, 0.386041089
16,477, 0.557624013
71,1863, 0.168253968
34,176, 0.385546109
68,1317, 0.312294032
36,1018, 0.5
55,1155, 0.221431273
34,407, 0.580771746
26,340, 0.488134206
13,421, 0.761900217
69,1022, 0.499725573
56,390, 0.6065
26,343, 0.488338789
6,227, 0.998915153
68,1309, 0.336515333
4,407, 0.389496446
68,720, 0.332962706
23,633, 0.5
51,379, 0.9954
44,1610, 0.507896399
25,706, 0.377933333
42,1721, 0.51194865
13,418, 0.5
59,1550, 0.404924989
12,1359, 0.5
43,903, 0.240720033
50,1106, 0.196
66,1338, 0.175787464
26,733, 0.625363702
23,639, 0.53978429
2,292, 0.2
44,1609, 0.496021531
7,435, 0.5175
51,1810, 0.5044
6,661, 0.547863018
2,774, 0.306231138
53,1411, 0.44439559
29,845, 0.623195033
16,1382, 0.679774652
22,1761, 0.5
71,147, 0.125314768
8,292, 0.105555556
23,1761, 0.5
30,819, 0.533818969
14,1485, 0.516
0,714, 0.333333333
8,774, 0.116666667
40,1087, 0.125
9,439, 0.5
40,1692, 0.125
5,832, 0.297385165
14,1361, 0.4935
7,105, 0.988
51,1627, 0.7228
53,1554, 0.545255124
3,166, 0.16984507
70,1427, 0.251343555
38,1033, 0.5
40,1691, 0.125
16,478, 0.336964652
70,1425, 0.252340119
38,1368, 0.455
38,430, 0.698333333
39,1047, 0.720690623
31,857, 0.245680796
41,1099, 0.1956
5,212, 0.245552885
14,297, 0.509
66,1739, 0.2
18,367, 0.52813081
51,255, 0.5294
69,1632, 0.635082347
7,1476, 0.4815
51,1034, 0.438
3,1171, 0.142588348
16,1381, 0.581414141
56,303, 0.472
7,1030, 0.6545
46,1242, 0.501525941
23,545, 0.511090761
0,86, 0.960384246
44,1191, 0.793886868
18,630, 0.547249451
24,672, 0.303806951
49,1794, 0.331944444
20,576, 0.466899131
9,300, 0.501036807
36,1824, 0.301204244
16,616, 0.333333333
38,1024, 1.0
9,1492, 0.5
22,660, 0.381086507
41,1106, 0.095421782
59,1421, 0.33904354
42,566, 0.500032916
26,1232, 0.56937625
58,1621, 0.510714286
14,1360, 0.5245
42,554, 0.565108624
34,940, 0.500981033
42,1127, 0.455431205
9,1046, 0.484784236
48,922, 0.5
9,1477, 0.455466856
33,147, 0.267447943
68,1796, 0.33167072
25,1773, 0.245066667
48,456, 0.499881263
3,1153, 0.130529033
8,881, 0.06984127
70,1440, 0.25
34,759, 0.469260955
4,944, 0.407014688
21,480, 0.337591114
26,743, 0.716539371
70,986, 0.246183795
18,671, 0.518201791
70,1824, 0.301098074
4,186, 0.592959363
7,307, 0.4565
19,562, 0.702527031
39,1649, 0.13516896
51,1628, 0.3084
12,111, 0.7105
48,397, 0.5
69,299, 0.515008309
6,631, 0.468081665
41,1199, 0.2274
53,1088, 0.328443184
71,1853, 0.228710203
38,446, 0.46
3,1866, 0.142857143
9,258, 0.5
31,832, 0.227277817
6,366, 0.5
18,522, 0.533948792
39,692, 0.162308242
53,1676, 0.301387652
36,1435, 0.25
40,1399, 0.11257044
45,1216, 0.25
7,1797, 0.452
28,294, 0.19369992
13,471, 0.5
23,347, 0.523504274
12,1367, 0.5125
