"model_id","Licenses","Size_categories","v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16"
"76","0","31","0.432416045","-0.180924812","0.260892966","0.20877253","-0.138636328","-0.160974861","-0.332974914","0.070807154","0.095711943","-0.347937414","-0.008294571","-0.030945573","0.294041342","0.196778306","0.116358499","0.178652407"
"77","0","18","0.360784144","-0.156020003","0.191099503","0.096154819","-0.114068463","-0.163629031","-0.270077988","0.070022644","0.072014661","-0.298220812","0.013803265","-0.015456046","0.245818882","0.151734131","0.090800931","0.173145161"
"78","0","18","0.354839961","-0.156166924","0.194362732","0.094737029","-0.119442506","-0.164365645","-0.265459677","0.072713874","0.068745579","-0.294713838","0.009828887","-0.012835117","0.252356898","0.148546476","0.090118854","0.178639345"
"79","0","18","0.422348883","-0.188607406","0.233072682","0.14731386","-0.14126606","-0.195489085","-0.313092441","0.096776996","0.083635156","-0.361948508","0.007354241","-0.029685796","0.277468215","0.20159556","0.105297018","0.197272047"
"80","0","26","0.373038803","-0.17055614","0.205785261","0.120900413","-0.116505086","-0.161259692","-0.274244862","0.076974664","0.072477789","-0.309956945","0.004887846","-0.02645976","0.244114075","0.163964886","0.098511569","0.177612307"
"81","0","32","0.430501491","-0.19649369","0.255472357","0.165004447","-0.138743532","-0.174809157","-0.330604859","0.087372471","0.088552035","-0.368746825","0.011735019","-0.042527239","0.288697707","0.213286263","0.114146234","0.184481293"
"82","1","32","0.38192354","-0.174598451","0.228589859","0.149342496","-0.126101717","-0.157223967","-0.298519816","0.083150668","0.076536482","-0.328213276","0.009954249","-0.041482729","0.257706745","0.196010645","0.10135452","0.168952659"
"83","2","32","0.438422287","-0.202418238","0.25703395","0.168204254","-0.14098309","-0.177860887","-0.329594943","0.092044315","0.089447824","-0.370236132","0.008689437","-0.037667282","0.291834888","0.21454837","0.112793082","0.180401561"
"84","0","32","0.382844385","-0.177427172","0.225298046","0.152556315","-0.121767774","-0.158546296","-0.298698466","0.081226282","0.077513356","-0.334134334","0.006213982","-0.03476836","0.257497951","0.193014081","0.09817055","0.16703462"
"85","0","18","0.356580718","-0.160193631","0.191608803","0.10157234","-0.118413797","-0.163646573","-0.270491885","0.072105747","0.071854603","-0.301084978","0.007061545","-0.009889722","0.248857098","0.152874704","0.090446825","0.179373553"
"86","0","18","0.356749774","-0.157294151","0.197001154","0.098380023","-0.115934887","-0.167877664","-0.264316542","0.073183764","0.071601691","-0.297622806","0.009634598","-0.017515785","0.252922678","0.150732052","0.094361137","0.175317025"
